rv3810	66	227
rv3804c	194	212
rv0165c	173	223
rv0167	94	110
rv0168	126	158
rv0169	313	402
rv0170	105	134
rv0171	416	515
rv0172	422	530
rv0173	117	160
rv0174	411	495
rv0586	1	63
rv0587	93	109
rv0588	130	164
rv0589	314	346
rv0590	116	129
rv0591	415	481
rv0592	439	508
rv0593	132	171
rv0594	364	466
rv1963c	70	97
rv1964	143	161
rv1965	109	140
rv1966	403	425
rv1967	243	260
rv1968	334	410
rv1969	235	270
rv1970	108	147
rv1971	103	189
rv3501c	253	254
rv3500c	119	148
rv3499c	326	346
rv3498c	273	297
rv3497c	109	139
rv3496c	396	451
rv3495c	33	69
rv3494c	420	523
rv0899	54	84
rv0475	29	195
rv0930	204	222
rv0820	172	189
rv2224c	442	471
rv3236c	373	384
rv3666c	30	53
rv3665c	39	46
rv3664c	255	266
rv3663c	228	310
rv2200c	1	32
rv2945c	32	56
rv3763	69	127
rv1411c	21	45
rv1410c	390	418
rv0934	17	55
rv1235	416	458
rv1857	14	40
rv2947c	344	418
rv2946c	202	247
rv1660	318	338
rv2930	364	401
rv2941	495	531
rv2942	173	214
rv2938	5	17
rv1527c	282	334
rv1661	1173	1206
rv3823c	1029	1080
rv1345	135	180
rv0467	104	125
rv1915	335	367
rv1916	178	227
rv2351c	472	507
rv2350c	356	377
rv2349c	485	506
rv2246	340	369
rv0642c	212	232
rv0470c	173	178
rv3083	238	279
rv3084	85	118
rv3085	30	40
rv3086	57	75
rv3087	160	218
rv3088	298	356
rv3089	406	429
rv2869c	70	93
rv0126	1	31
rv3409c	505	578
rv3568c	62	98
rv3545c	145	171
rv3544c	155	176
rv3543c	19	56
rv3540c	329	375
rv3875	70	86
rv3868	277	332
rv3869	288	335
rv3870	13	112
rv3871	305	346
rv3874	61	93
rv3867	29	106
rv3866	138	191
rv3616c	299	355
rv3615c	14	39
rv3877	306	347
rv3614c	146	184
rv3849	23	56
rv3883c	15	51
rv1795	1	28
rv1539	1	35
rv1821	461	534
rv2031c	42	84
rv2051c	533	576
rv2136c	159	166
rv3682	733	810
rv2428	186	193
rv0432	33	78
rv1936	124	140
rv1937	794	837
rv1938	58	78
rv1939	164	171
rv1908c	212	243
rv1932	141	158
rv2445c	84	98
rv2234	153	163
rv3151	726	765
rv2703	2	226
rv2069	88	107
rv3414c	129	190
rv1221	155	184
rv3286c	134	173
rv0182c	126	170
rv3223c	105	147
rv0735	94	111
rv0757	131	169
rv0758	92	126
rv2395A	7	53
rv2395B	1	54
rv2396	195	343
rv0490	281	316
rv0491	193	209
rv3132c	251	286
rv2027c	246	286
rv3133c	133	162
rv0981	110	132
rv0982	443	504
rv0931c	298	382
rv1743	287	338
rv0410c	496	538
rv1546	1	20
rv1545	69	75
rv2653c	1	49
rv2654c	1	32
rv0910	1	17
rv0909	1	3
rv0456A	43	63
rv0456B	20	57
rv0659c	75	87
rv0660c	49	65
rv1102c	36	58
rv1103c	58	75
rv1495	49	67
rv1494	77	100
rv1942c	49	73
rv1943c	113	125
rv1991c	12	51
rv1991A	51	70
rv2063A	22	73
rv2063	25	74
rv2274c	54	76
rv2274A	48	66
rv2801c	18	36
rv2801A	67	76
rv0299	5	15
rv0298	26	38
rv1246c	86	97
rv1247c	41	68
rv2866	43	56
rv2865	60	93
rv3358	17	48
rv3357	58	91
rv1959c	53	60
rv1960c	45	59
rv2142c	84	103
rv2142A	13	45
rv1955	104	125
rv1956	61	88
rv2022c	99	138
rv2021c	1	35
rv3182	26	43
rv3183	61	79
rv0065	48	67
rv0064A	22	79
rv0301	49	78
rv0300	62	71
rv0549c	1	18
rv0550c	38	62
rv0595c	43	57
rv0596c	17	52
rv0627	84	94
rv0626	31	57
rv0656c	1	14
rv0657c	28	51
rv0661c	53	93
rv0662c	39	84
rv0665	25	38
rv0664	16	58
rv0960	46	67
rv0959A	14	39
rv1397c	71	88
rv1398c	13	27
rv1561	23	53
rv1560	61	72
rv1720c	11	23
rv1721c	34	47
rv1838c	24	42
rv1839c	22	55
rv1953	37	74
rv1952	28	54
rv2010	35	51
rv2009	56	80
rv2231A	99	141
rv2231B	26	58
rv2527	124	133
rv2526	10	40
rv2546	137	137
rv2545	81	92
rv2548	16	50
rv2547	4	42
rv2549c	21	33
rv2550c	23	48
rv2757c	138	138
rv2758c	54	71
rv2829c	107	123
rv2830c	15	33
rv2863	30	56
rv2862A	1	13
rv0240	97	110
rv0239	12	33
rv0277c	81	82
rv0277A	62	84
rv0582	109	119
rv0581	9	71
rv0598c	114	125
rv0599c	13	64
rv0609	53	74
rv0608	52	81
rv0617	0	0
rv0616A	39	75
rv0624	9	49
rv0623	1	37
rv0749	138	142
rv0748	69	85
rv1114	100	124
rv1113	46	65
rv1242	136	143
rv1241	20	86
rv1741	41	61
rv1740	21	36
rv1962c	82	135
rv1962A	11	90
rv1982c	20	35
rv1982A	67	80
rv2103c	134	144
rv2104c	67	84
rv2494	131	135
rv2493	47	73
rv2530c	45	69
rv2530A	3	35
rv2596	43	59
rv2595	12	81
rv2602	54	59
rv2601A	1	77
rv2759c	15	39
rv2760c	39	74
rv2872	126	145
rv2871	12	85
rv3320c	57	63
rv3321c	3	56
rv2019	74	82
rv2018	41	59
rv3384c	14	70
rv3385c	27	102
rv3408	18	52
rv3407	21	95
rv3697c	56	77
rv3697A	1	43
rv3180c	48	60
rv3181c	109	150
rv3749c	26	31
rv3750c	12	34
rv0983	238	344
rv3671c	175	203
rv2745c	31	54
rv0198c	87	125
rv2097c	364	394
rv2115c	548	605
rv2383c	283	329
rv1348	116	162
rv1349	285	314
rv2711	130	169
rv1811	59	65
rv3270	223	278
rv0969	64	142
rv0353	72	109
rv3416	41	64
rv0348	56	77
rv3082c	322	340
rv0821c	110	154
rv0450c	139	195
rv1979c	237	251
rv1980c	80	118
rv1981c	80	97
rv2032	286	319
rv0211	138	164
rv0990c	70	100
rv0153c	98	122
rv3310	31	39
rv2416c	47	70
rv1988	164	179
rv1258c	354	367
rv3197A	77	92
